name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,distance_cm,level_pct,ts
"15.5645,-88.0286",2023-12-18,26.9,18.0,21.6,27.3,18.0,21.6,17.0,77.2,0.058,100,4.17,rain,0,0,23.0,20.3,7.8,1017.5,27.4,10.0,212.4,18.3,8,10,2023-12-18T06:12:38,2023-12-18T17:24:51,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999",8.84,19.6,108000
"15.5645,-88.0286",2023-12-19,26.0,17.0,20.9,26.0,17.0,20.9,17.4,81.3,0.091,100,8.33,rain,0,0,37.1,33.5,25.1,1018.6,76.1,10.3,92.4,7.9,4,10,2023-12-19T06:13:09,2023-12-19T17:25:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",5.08,53.8,109000
"15.5645,-88.0286",2023-12-20,25.1,17.3,21.1,25.1,17.3,21.1,17.9,82.6,0.0,0,0.0,rain,0,0,19.4,11.2,224.1,1018.0,81.8,9.9,100.6,8.7,5,10,2023-12-20T06:13:40,2023-12-20T17:25:48,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999",4.53,58.8,110000
"15.5645,-88.0286",2023-12-21,24.7,19.0,21.3,24.7,19.0,21.3,18.2,83.7,0.214,100,8.33,rain,0,0,17.3,14.8,290.3,1017.4,88.3,9.8,97.5,8.3,4,10,2023-12-21T06:14:11,2023-12-21T17:26:17,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",4.83,56.1,111000
"15.5645,-88.0286",2023-12-22,24.9,20.0,22.2,24.9,20.0,22.2,19.9,87.1,0.096,100,16.67,rain,0,0,37.1,12.7,217.9,1016.6,93.5,9.5,38.9,3.3,2,10,2023-12-22T06:14:40,2023-12-22T17:26:47,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",3.37,69.4,112000
"15.5645,-88.0286",2023-12-23,26.6,17.0,22.9,26.6,17.0,22.9,20.8,87.7,1.206,100,12.5,rain,0,0,17.3,24.1,58.0,1015.1,90.9,9.4,102.3,8.8,4,10,2023-12-23T06:15:10,2023-12-23T17:27:17,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",8.63,21.5,113000
"15.5645,-88.0286",2023-12-24,30.6,21.8,25.2,33.5,21.8,26.3,22.1,84.3,1.195,100,8.33,rain,0,0,20.9,21.9,14.7,1012.5,49.2,8.8,166.5,14.5,6,30,2023-12-24T06:15:38,2023-12-24T17:27:49,0.42,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",4.71,57.2,114000
"15.5645,-88.0286",2023-12-25,33.6,20.9,26.3,38.8,20.9,28.1,22.7,82.3,0.0,0,0.0,,0,0,18.4,14.2,326.6,1011.4,33.3,8.6,217.8,18.7,8,60,2023-12-25T06:16:06,2023-12-25T17:28:20,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",6.42,41.6,115000
"15.5645,-88.0286",2023-12-26,31.7,23.6,27.0,37.6,23.6,29.0,23.9,84.4,0.0,0,0.0,,0,0,23.0,21.9,23.3,1012.4,58.4,10.1,184.0,15.8,6,30,2023-12-26T06:16:33,2023-12-26T17:28:53,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",6.63,39.7,116000
"15.5645,-88.0286",2023-12-27,31.8,23.6,27.0,37.8,23.6,29.3,24.1,85.3,0.0,0,0.0,,0,0,23.0,19.4,42.4,1012.0,51.0,10.0,194.9,16.8,7,60,2023-12-27T06:17:00,2023-12-27T17:29:25,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",6.17,43.9,117000
